Index;Tweet;HS;Abusive;HS_Individual;HS_Group;HS_Religion;HS_Race;HS_Physical;HS_Gender;HS_Other;HS_Weak;HS_Moderate;HS_Strong;Tweet_Parsed;HS_predict;Abusive_predict;HS_Individual_predict;HS_Group_predict;HS_Religion_predict;HS_Race_predict;HS_Physical_predict;HS_Gender_predict;HS_Other_predict;HS_Weak_predict;HS_Moderate_predict;HS_Strong_predict
429;Early polls have incumbent President Joko Widodo ahead of Prabowo Subianto 55-45  USER #IndonesiaElection #indonesiavotes;0;0;0;0;0;0;0;0;0;0;0;0;early polls have incumbent presiden joko widodo ahead of prabowo subianto user indonesia election indonesia votes;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
433;USER Pak USER perlu dijaga agar Tokoh Islam tak panik & perlu pendampingan agar dpt mnerima kenyataan;0;0;0;0;0;0;0;0;0;0;0;0;user pak user perlu dijaga agar tokoh islam tidak panik perlu pendampingan agar dapat menerima kenyataan;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
524;That so rude tho. Not a fan of seungyoun but where is your manner? 'anjing' is an offensive word here and there. Someone really need to teach him abt some manner  https://twitter.com/mochipyoo/status/1223519287685443585ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;that so rude though not a fan of seungyoun but where is your manner anjing is an offensive word here and there someone really need to teach him about some manner ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
552;USER Udah liat Surabaya lom Pak? Bagusan mana penataannya ma DKI? Kl mo nyapres rapiin dulu Jkt bersihin dr PKL di badan jalan ma trotoar. Kl kemaren lawannya Ridwan Kamil/Risma/Nurdin Abdullah jg kalah. Menang krn BTP Kristen jd gampang nakut2;0;0;0;0;0;0;0;0;0;0;0;0;user sudah lihat surabaya belum pak bagusan mana penataannya sama daerah khusus ibukota kalau mau mencalonkan presiden rapikan dulu jakarta bersihkan dari pukul di badan jalan sama trotoar kalau kemarin lawannya ridwan kamil risma nurdin abdullah juga kalah menang karena ahok kristen jadi mudah menakuti;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
566;"USER Saya jadi teringat Bu Vero.; ; Selama hari-hari menemani Pak Ahok sebagai Gubernur DKI Jakarta dan ketika menjalani sidang atas penistaan agama, saya melihat ketabahan beliau. Sungguh kepribadian yang teguh.";0;0;0;0;0;0;0;0;0;0;0;0;user saya jadi teringat bu vero selama hari hari menemani pak ahok sebagai gubernur daerah khusus ibukota jakarta dan ketika menjalani sidang atas penistaan agama saya melihat ketabahan dia sungguh kepribadian  teguh ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
571;This is so cute! Ã¢ÂÂºÃ¯Â¸ÂÃ°ÂÂÂ that cliff hanger though... Ã°ÂÂÂ§;0;0;0;0;0;0;0;0;0;0;0;0;this is so cute that cliff hanger though ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
597;RT USER: USER Arseto..ini kunyuk yg sedang cari panggung...';0;1;0;0;0;0;0;0;0;0;0;0;rt user user arseto ini kunyuk  sedang cari panggung ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
606;USER USER USER Saya rasa kalo beliau bebas jadi bahan gorengan buat sahabatnya.. taulah kaum cebong kerjaannya gimana?';1;1;0;1;0;0;0;0;1;0;1;0;user user user saya rasa kalau dia bebas jadi bahan gorengan buat sahabatnya taulah kaum kecebong kerjaannya bagaimana ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
611;RT USER: Mash kentut bau babi';0;1;0;0;0;0;0;0;0;0;0;0;rt user masih kentut bau babi ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
626;Makin hari berita makin lucu saja. Akrobat politik dilakukan demi menggerus elektabilitas Presiden Jokowi yang begitu tinggi.;0;0;0;0;0;0;0;0;0;0;0;0;semakin hari berita semakin lucu saja akrobat politik dilakukan demi menggerus elektabilitas presiden jokowi  begitu tinggi ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
644;"Malaysian National Team Includes 6 Controversial Players at SEA Games
#ShameOnYouMalaysia  http://style.tribunnews.com/s/cbeecÃÂ ";0;0;0;0;0;0;0;0;0;0;0;0;malaysian nasional tim includes controversial players at sea games shame on you malaysia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
656;"Aki"" Amien Rais blg prabowo sm dgn bung karno ?sma drmn bung karno mempersatukan suku agama ras pulau NKRI wowo mlh mmcah belah dsr mabok aki";1;0;1;0;0;0;0;0;1;1;0;0;aki amien rais bilang prabowo sama dengan bung karno sama dari mana bung karno mempersatukan suku agama ras pulau negara kesatuan republik indonesia wowo malah memecah belah dasar mabuk aki;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
658;USER Hahaha polisi dengan mudah dipermainkan oleh cukong keparat. Seperti tidak punya wibawa, dan tampak lemah diuji oleh cukong. Sekalian aja ikut uji nyali';1;1;0;1;0;0;0;0;1;0;1;0;user  polisi dengan mudah dipermainkan oleh cukong keparat seperti tidak punya wibawa dan tampak lemah diuji oleh cukong sekalian saja ikut uji nyali ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
720;Orang lain kalo bersin selalu normal. Gua bersin selalu bilang asu :( untung belum pernah ada yang salah paham';0;0;0;0;0;0;0;0;0;0;0;0;orang lain kalau bersin selalu normal aku bersin selalu bilang anjing untung belum pernah ada  salah paham ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
827;USER sitip itu apaan?';0;0;0;0;0;0;0;0;0;0;0;0;user sitip itu apaan ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
895;People make fun of Anies by saying Ã¢ÂÂGabener' instead of Ã¢ÂÂGubernur' Ã°ÂÂ¤Â£ which, I reckon you already know the meaning, translates to Ã¢ÂÂnot right' or simply Ã¢ÂÂwrong';0;0;0;0;0;0;0;0;0;0;0;0;people make fun of anies by saying tidak benar instead of gubernur which i reckon you already know the meaning translates to not right orang simply salah ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
907;USER USER Era-nya udah beda Boss. Dan ingatkah Anda, Ormas garda terdepan penumpas PKI???....... NU bos.. \xf0\x9f\x91\x8d\xf0\x9f\x99\x8f';0;0;0;0;0;0;0;0;0;0;0;0;user user era  sudah beda bos dan ingatkah kamu organisasi masyarakat garda terdepan penumpas partai komunis indonesia nu bos ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
943;RT  USER: Now SBY said Demokrat will appeal the #Pilkada decision. Serious bullshit. U don't deserve to appeal if you walk out.;1;1;1;0;0;0;0;0;1;1;0;0;rt user now susilo bambang yudhoyono said demokrat will appeal the pilihan kepala daerah decision serious bullshit kamu do not deserve to appeal if you walk out ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
972;Well mr  USER this one below is for you sir..this boy if urs  USER just made it worse.. #shameonyousaddiq #shameonyoumalaysia  https://twitter.com/permadiaktivis/status/1198045430572994560ÃÂ Ã¢ÂÂ¦ pic.twitter.com/mNunKX5Xig;1;0;1;0;0;0;0;0;1;1;0;0;well mr user this one below is for you sir this boy if urs user just made it worse shame on you saddiq shame on you malaysia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1029;"USER USER USER ""Saya lebih mendengar kata-kata orang di TV daripada pengetahuan dasar ekonomi""";0;0;0;0;0;0;0;0;0;0;0;0;user user user saya lebih mendengar kata kata orang di televisi daripada pengetahuan dasar ekonomi;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1051;USER USER USER USER USER USER USER USER Namanya juga bani onta peminum ekstrak tinjah al urine onta USER ... ngoaahahaa';1;1;1;0;0;0;0;0;1;1;0;0;user user user user user user user user namanya juga bani unta peminum ekstrak tinja al urine unta user  ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1071;USER Bener2 POLITIKUS BUSUK luh ZONK !!!\nPak USER , Mending disuruh DIAM dulu nih congor jongosnya bapak karena semakin banyak ngomong saya semakin yakin elektabilitas bapak semakin nyungsep dan orang makin gak simpati sama bapak...';1;1;1;0;0;0;0;0;1;1;0;0;user benar benar politikus busuk kamu apes pak user mending disuruh diam dulu nih congor jongosnya bapak karena semakin banyak bicara saya semakin yakin elektabilitas bapak semakin nyungsep dan orang semakin tidak simpati sama bapak ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1105;Bro USER jgn lupa dijenguk! Gara-gara asma dewi lo menang kan;1;0;1;0;0;0;0;0;1;1;0;0;bro user jangan lupa dijenguk gara gara asma dewi kamu menang ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1106;USER USER Huhahahhahahaaa\nPengusaha kaya Raya saja nangis ber darah darah di Jaman jokowi ini sangking Susahnya Jaman dan rezim ini mengelola ekonomi negara yg gak bener!!!\nBeras mahal, sembako mahal, daya beli turun, masyarakat bawah bany;1;0;1;0;0;0;0;0;1;1;0;0;user user  pengusaha kaya raya saja menangis ber darah darah di zaman jokowi ini saking susahnya zaman dan rezim ini mengelola ekonomi negara  tidak benar beras mahal sembako mahal daya beli turun masyarakat bawah banyak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1168;USER Yaelah lo bos boss bisanya cuma nyinyir doang, disuruh kerja ga becus pkrannya kekuasan doang..munafik lo USER';1;0;1;0;0;0;0;0;1;1;0;0;user  kamu bos bos bisanya hanya nyinyir saja disuruh kerja tidak becus pikirannya kekuasan saja munafik kamu user ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1180;RT USER: Jangan jadikan bodoh, babi ,sial tu sebagai zikir harian kita . Moga kurangkan dan jauhkan amiiin\xe2\x98\xba\xef\xb8\x8f';0;1;0;0;0;0;0;0;0;0;0;0;rt user jangan jadikan bodoh babi sial itu sebagai zikir harian kita semoga kurangkan dan jauhkan aamiin ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1242;Makin hari berita makin lucu saja. Akrobat politik dilakukan demi menggerus elektabilitas Presiden Jokowi yang begitu tinggi.;0;0;0;0;0;0;0;0;0;0;0;0;semakin hari berita semakin lucu saja akrobat politik dilakukan demi menggerus elektabilitas presiden jokowi  begitu tinggi ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1283;Ssttt...gubernur Indonesia sahabat kang Aher kesayangan rakyat NKRI..;0;0;0;0;0;0;0;0;0;0;0;0;ssttt gubernur indonesia sahabat kakak aher kesayangan rakyat negara kesatuan republik indonesia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1312;RT USER USER Prabowo simulut busuk Rizieq anies Fadlizon Fahri mereka kumpulan sampah negara jd kelakuan mereka juga kaya sampah;1;1;1;0;0;0;0;0;1;1;0;0;rt user user prabowo si mulut busuk rizieq anies fadli zon fahri mereka kumpulan sampah negara jadi kelakuan mereka juga kaya sampah;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1313;USER Lebih bagus kalau DPR yang di bubarkan;1;0;0;1;0;0;0;0;1;0;1;0;user lebih bagus kalau dewan perwakilan rakyat  di bubarkan;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
1355;RT USER: #2beer sebenernya bosen tubir rp, tapi liat mereka goblok jadi seru';0;1;0;0;0;0;0;0;0;0;0;0;rt user beer sebenarnya bosan tubir rupiah tapi lihat mereka goblok jadi seru ;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1394;Astagfirullah mata gw ternodai \nTerkutuk kau yg ngert bokep \xf0\x9f\x98\xad[]';1;1;1;0;0;0;0;0;1;1;0;0;astagfirullah mata aku ternodai terkutuk kamu  mengerti bokep ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1397;USER USER USER Abu gosok janda Udh pa dungu lgi yg gini jdi pengingkutnya presiden malu maluiin aja jokowi aja';1;1;1;0;0;0;0;0;1;1;0;0;user user user abu gosok janda sudah pak dungu lagi  begini jadi pengikutnya presiden malu memalukan saja jokowi saja ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1488;Both FPI & HTI are only examples. They're like the tip of a huge iceberg. If you were an Indonesian, you'd know.;0;0;0;0;0;0;0;0;0;0;0;0;both front pembela islam hizbut tahrir indonesia are only examples they are like the tip of a huge iceberg if you were an indonesian you di know ;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1496;RT USER USER Para partai oposisi zaman SBY menguasai media massa hingga berbagai prestasi SBY tidak dipublikasikan.;1;0;0;1;0;0;0;0;1;0;1;0;rt user user para partai oposisi zaman susilo bambang yudhoyono menguasai media massa hingga berbagai prestasi susilo bambang yudhoyono tidak dipublikasikan ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1530;Ow sht indonesia government are sucks;1;1;0;1;0;0;0;0;1;0;1;0;ow shit indonesia government are sucks;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1531;Brengsek. 2 jam setengah yang memuaskan. Taik lah keren bet ni film :)) URL;0;1;0;0;0;0;0;0;0;0;0;0;berengsek jam setengah  memuaskan tai  keren banget nih film url;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1583;USER USER Mungkin dengan test dna bisa ketahuan ini keturunan di/tii, pki, prri, pks dll';0;0;0;0;0;0;0;0;0;0;0;0;user user mungkin dengan tes dna bisa ketahuan ini keturunan di tii partai komunis indonesia pemerintahan revolusioner republik indonesia partai keadilan sejahtera dan lain lain ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1599;USER Ada anjir. Idup dimana lu';0;1;0;0;0;0;0;0;0;0;0;0;user ada anjir hidup dimana kamu ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1645;THIS IS BULLSHIT!! (BRAAK!!) *lempar remot tipi - SBY, Somewhere.;0;1;0;0;0;0;0;0;0;0;0;0;this is bullshit  lempar remot televisi susilo bambang yudhoyono somewhere ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1685;"Confuse to choose my next president, both have dark side... Jokowi with his ""pdip"" and prabowo with his koalisi and ham";0;0;0;0;0;0;0;0;0;0;0;0;confuse to choose my next presiden both have dark side jokowi dengan his partai demokrasi indonesia perjuangan and prabowo dengan his koalisi and hak asasi manusia;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1694;I made them so they don't Stick too much out the side Lmaoo I guess sis wasn't with it https://twitter.com/chai_bae/status/1224191758025797632ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;i made them so they do not stick too much out the side laughing my ass off i guess sister was not dengan it ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1709;USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...;0;0;0;0;0;0;0;0;0;0;0;0;user user user user user user user kalau kamu ateis apa sibuk dengan agama orang ;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
1800;"Share your country's experience.
#WorkpointSHORTs >>  https://www.facebook.com/WorkpointNews/videos/499905020378781ÃÂ Ã¢ÂÂ¦ Ã¢ÂÂ¦
#ASEAN  USER #ShameOnYouMalaysia #SEAGames2017 #Malaysia Ã°ÂÂÂÃ°ÂÂÂ pic.twitter.com/J9Ik1fVbb0";0;0;0;0;0;0;0;0;0;0;0;0;bagikan your country experience work point shorts asean user shame on you malaysia sea games malaysia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1880;gerakan komunis telah memberikan dampak yang cukup besar bagi jalannya perpolitikan di dunia, termasuk di Indonesia';0;0;0;0;0;0;0;0;0;0;0;0;gerakan komunis telah memberikan dampak  cukup besar bagi jalannya perpolitikan di dunia termasuk di indonesia ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1891;those who always utter s.t.f.u, cina babi, pegi mampos, keling, kafir.... i never heard them say these words in sopan santun way;0;1;0;0;0;0;0;0;0;0;0;0;those who always utter si t f kamu cina babi pergi mampus keling kafir i never heard them say these kata in sopan santun way;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1902;Gue mau nonton brodus cina kali ya soalnya ganteng banget ya Allah ciptaan-Mu :(';0;0;0;0;0;0;0;0;0;0;0;0;aku mau menonton brodus cina kali  soalnya ganteng banget  allah ciptaan mu ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1916;If  USER won't say sorry that's mean you allow those criminal did that. You are Muslim, right? How poor you allow it just for your FUCKING JOB? #ShameOnYouSaddiq #ShameOnYouSyedSaddiq #ShameOnYouMalaysia #GanyangMalaysia  USER https://twitter.com/CNNIndonesia/status/1197687947463495680ÃÂ Ã¢ÂÂ¦;1;1;1;0;0;0;0;0;1;1;0;0;if user  not say maaf that mean you allow those criminal did that you are muslim right how poor you allow it just for your fuck job shame on you saddiq shame on you syed saddiq shame on you malaysia ganyang malaysia user ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
1948;66. najis minta bgt gua kepruk ya lu gov';1;1;1;0;0;0;0;0;1;1;0;0; najis meminta banget aku kepruk  kamu government ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1951;Some women activists, Muslim feminists supported FPI-HTI-backed Anies camp. What election means for Indonesian women  http://indonesiaatmelbourne.unimelb.edu.au/islamists-have-been-boosted-by-the-jakarta-election-what-does-this-mean-for-the-womens-movement/ÃÂ Ã¢ÂÂ¦;0;0;0;0;0;0;0;0;0;0;0;0;some women activists muslim feminists supported front pembela islam hizbut tahrir indonesia backed anies camp apa election means for indonesian women ;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1971;USER Lanjutannya langsung aja. Kangen lama gak liat yg crot crotan';0;1;0;0;0;0;0;0;0;0;0;0;user lanjutannya langsung saja kangen lama tidak lihat  crot crot ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2011;DC are better than mar*el kwnontol bangsat fuck you lah,,,,;0;1;0;0;0;0;0;0;0;0;0;0;dc are better tahan mar el kontol bangsat fuck you  ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2015;USER USER Ganti rezim kacung lah.. Cebong mah gitu kalo ditanya';1;1;0;1;0;0;0;0;1;0;1;0;user user ganti rezim kacung  kecebong  begitu kalau ditanya ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2072;Can anyone please explain what #PrabowoGila and #PrabowoHalu actually mean?;1;1;1;0;0;0;0;0;1;1;0;0;can anyone please explain apa prabowo gila and prabowo halu actualy mean ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2079;Sebagai orang Kristen, maka IMAN - KASIH - PENGHARAPAN merupakan dasar kehidupan kita.';0;0;0;0;0;0;0;0;0;0;0;0;sebagai orang kristen maka iman kasih pengharapan merupakan dasar kehidupan kita ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
2099;If sby choosen to be our president again, it means ppl satisfied by his worked so far. We have no doubt. #indonesiaelection;0;0;0;0;0;0;0;0;0;0;0;0;if susilo bambang yudhoyono choosen to be our presiden again it means people satisfied by his worked so far we have no doubt indonesia election;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2110;TIGA KALI BANGSAT!!!mourinho what the fuck you thinking asshole?????,,,,;1;1;1;0;0;0;0;0;1;1;0;0;tiga kali bangsat mourinho apa the fuck you thinking asshole ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2121;Kondisi ini masih diperburuk dengan peran politik Partai Komunis Indonesia (PKI) yang mendominasi di kehidupan politik Indonesia. Bersandar pada Dekrit Presiden 5 Juli sebagai sumber hukum,';0;0;0;0;0;0;0;0;0;0;0;0;kondisi ini masih diperburuk dengan peran politik partai komunis indonesia partai komunis indonesia  mendominasi di kehidupan politik indonesia bersandar pada dekrit presiden juli sebagai sumber hukum ;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2133;Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.';0;0;0;0;0;0;0;0;0;0;0;0;saat orang orang saling menuding antek asing asing sesungguhnya bertepuk tangan ;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
2246;BRENGSEK GW BR LIAT ANJEEEENG FIX BGT GUE PINGSAN DULU BYE URL;1;1;1;0;0;0;0;0;1;1;0;0;berengsek aku baru lihat anjing fix banget aku pingsan dulu bye url;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2269;playlist hari ini : dygta - kesepian,wali - jodi,alda - aku tak biasa,titi kamal - jablay :(';0;0;0;0;0;0;0;0;0;0;0;0;playlist hari ini dygta kesepian wali jodi alda aku tidak biasa titi kamal jablay ;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2272;Its really not fair to jugde presiden SBY as a bad leader. Decreasing populairity is a bullshit.;0;1;0;0;0;0;0;0;0;0;0;0;it is really not fair to jugde presiden susilo bambang yudhoyono as a bad leader decreasing popularity is a bullshit ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2377;USER USER USER Semua daerah bukannya udh menyuarakan #2019GantiPresiden , hanya kampung cebong yg belum \xf0\x9f\x98\x84';1;1;0;1;0;0;0;0;1;0;1;0;user user user semua daerah bukannya sudah menyuarakan ganti presiden cuma kampung kecebong  belum ;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
2390;{mu} ngapa gue ngikutin beritanya bencong-bencong itu yaelah';0;1;0;0;0;0;0;0;0;0;0;0; mu kenapa aku mengikuti beritanya bencong bencong itu  ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
